"fpressure","variable","mean","sd"
"Medium","lat","   1.89  "," 0.0042 "
"Medium","long","-157.55  "," 0.0047 "
"Medium","nitrate_plus_nitrite_uM_mean","   2.07  "," 0.5    "
"Medium","nitrate_plus_nitrite_uM_se","   0.034 "," 0.00099"
"Medium","npp_interann_sd_sat","  63.95  "," 0      "
"Medium","npp_max_sat","1077.88  "," 0      "
"Medium","npp_mean_sat"," 964.62  "," 0      "
"Medium","npp_min_sat"," 891.86  "," 0      "
"Medium","npp_sd_sat","  43.56  "," 0      "
"Medium","phosphate_uM_mean","   0.56  "," 0.088  "
"Medium","phosphate_uM_se","   0.15  "," 0.061  "
"Medium","prod_mean_aq","   5.94  "," 1.67   "
"Medium","prod_mean_f","   0.68  "," 0.65   "
"Medium","prod_se_aq","   0.49  "," 0.3    "
"Medium","prod_se_f","   0.048 "," 0.042  "
"Medium","silicate_uM_mean","  11.37  "," 1      "
"Medium","silicate_uM_se","   0.81  "," 0.039  "
"Medium","turb_mean_aq","  -0.44  "," 0.9    "
"Medium","turb_se_aq","   0.19  "," 0.079  "
"Medium","visibility_m","  15.81  "," 5.15   "
"Medium","wave_interann_sd_sat","   2.54  "," 0      "
"Medium","wave_mean_sat","  24.82  "," 0      "
"Medium","wave_sd_sat","   6.16  "," 0      "
"Medium","ysi_DO_mean_1m","  97.73  "," 7.12   "
"Medium","ysi_DO_mgL_mean_1m","   6.16  "," 0.45   "
"Medium","ysi_DO_mgL_se_1m","   0.065 "," 0.042  "
"Medium","ysi_DO_se_1m","   0.82  "," 0.95   "
"Medium","ysi_pH_mean_1m","   8.02  "," 0.044  "
"Medium","ysi_pH_se_1m","   0.007 "," 0.0032 "
"Medium","ysi_salinity_mean_1m","  35.12  "," 0.016  "
"Medium","ysi_salinity_se_1m","   0.0067"," 0.0047 "
"Medium","ysi_temp_mean_1m","  29.06  "," 0.051  "
"Medium","ysi_temp_se_1m","   0.011 "," 0.019  "
"Very high","lat","   2.02  "," 0.0084 "
"Very high","long","-157.49  "," 0.0045 "
"Very high","nitrate_plus_nitrite_uM_mean","   1.53  "," 0.1    "
"Very high","nitrate_plus_nitrite_uM_se","   0.037 "," 0.018  "
"Very high","npp_interann_sd_sat","  49.74  "," 0.66   "
"Very high","npp_max_sat","1103.76  "," 7.81   "
"Very high","npp_mean_sat"," 895.26  "," 3.7    "
"Very high","npp_min_sat"," 750.97  "," 0.59   "
"Very high","npp_sd_sat","  63.81  "," 2.63   "
"Very high","phosphate_uM_mean","   0.44  "," 0.047  "
"Very high","phosphate_uM_se","   0.057 "," 0.029  "
"Very high","prod_mean_aq","   8.57  "," 2.67   "
"Very high","prod_mean_f","   0.77  "," 0.37   "
"Very high","prod_se_aq","   0.93  "," 0.79   "
"Very high","prod_se_f","   0.055 "," 0.038  "
"Very high","silicate_uM_mean","  10.26  "," 0.88   "
"Very high","silicate_uM_se","   1.05  "," 0.14   "
"Very high","turb_mean_aq","   0.093 "," 0.3    "
"Very high","turb_se_aq","   0.11  "," 0.074  "
"Very high","visibility_m","  13.21  "," 2.28   "
"Very high","wave_interann_sd_sat","   1.44  "," 1.36   "
"Very high","wave_mean_sat","  13.87  ","13.14   "
"Very high","wave_sd_sat","   3.85  "," 3.64   "
"Very high","ysi_DO_mean_1m","  91.24  "," 3.37   "
"Very high","ysi_DO_mgL_mean_1m","   5.75  "," 0.22   "
"Very high","ysi_DO_mgL_se_1m","   0.038 "," 0.021  "
"Very high","ysi_DO_se_1m","   0.45  "," 0.54   "
"Very high","ysi_pH_mean_1m","   8.04  "," 0.031  "
"Very high","ysi_pH_se_1m","   0.0053"," 0.0038 "
"Very high","ysi_salinity_mean_1m","  35.67  "," 0.84   "
"Very high","ysi_salinity_se_1m","   0.016 "," 0.012  "
"Very high","ysi_temp_mean_1m","  29.07  "," 0.16   "
"Very high","ysi_temp_se_1m","   0.0083"," 0.017  "
