"","ASV288","ASV290","ASV432","ASV434","ASV449","ASV509","ASV695","ASV773","ASV791","ASV866","ASV886","ASV906","ASV931","ASV939","ASV1059","ASV1181","ASV1271","ASV1304","ASV1306","ASV1357","ASV1512","ASV1522","ASV1635","ASV1688","ASV1722","ASV1725","ASV1999","ASV2146","ASV2362","ASV3040","ASV3093","ASV3387","ASV3406","ASV3424","ASV3685","ASV3907","ASV3963","ASV4052","ASV4174","ASV4289","ASV4893","ASV4999","ASV5079","ASV5129","ASV5418","ASV5650","ASV5942","ASV6177","ASV6183","ASV6523","ASV6763","ASV6848","ASV7532","ASV7618","ASV7627","ASV7641","ASV7793","ASV7915","ASV8113","ASV8529","ASV8876","ASV9059","ASV9460","ASV9465","ASV9471","ASV9865","ASV9887","ASV10121","ASV10152","ASV10349","ASV10580","ASV10631","ASV10907","ASV10959","ASV11203","ASV11549","ASV11560","ASV11726","ASV11856","ASV12527","ASV13176"
"ASV288",0,0.206896551724138,0.230188679245283,0.233962264150943,0.173584905660377,0.246212121212121,0.206896551724138,0.169811320754717,0.249056603773585,0.258555133079848,0.229885057471264,0.258555133079848,0.154716981132075,0.173584905660377,0.245210727969349,0.241509433962264,0.0631970260223048,0.21969696969697,0.169811320754717,0.24904214559387,0.150943396226415,0.0594795539033457,0.0335820895522388,0.0446096654275093,0.176029962546816,0.0780669144981413,0.0335820895522388,0.252830188679245,0.188679245283019,0.104477611940299,0.211320754716981,0.254752851711027,0.241379310344828,0.162264150943396,0.0669144981412639,0.162264150943396,0.208333333333333,0.0483271375464684,0.0557620817843866,0.0297397769516729,0.181132075471698,0.166037735849057,0.231060606060606,0.041044776119403,0.237547892720307,0.184905660377358,0.177358490566038,0.195402298850575,0.241379310344828,0.0373134328358209,0.245210727969349,0.041044776119403,0.14828897338403,0.149812734082397,0.173584905660377,0.177358490566038,0.260377358490566,0.26615969581749,0.210727969348659,0.0669144981412639,0.241509433962264,0.00371747211895911,0.233716475095785,0.233716475095785,0.173584905660377,0.215909090909091,0.182835820895522,0.233716475095785,0.0601503759398496,0.116981132075472,0.0669144981412639,0.173584905660377,0.158490566037736,0.0559701492537313,0.208333333333333,0.222222222222222,0.166037735849057,0.00743494423791821,0.172284644194757,0.183520599250936,0.162264150943396
"ASV290",0.206896551724138,0,0.263358778625954,0.256704980842912,0.138576779026217,0.270992366412214,0.0037037037037037,0.194656488549618,0.267175572519084,0.253846153846154,0.263358778625954,0.253846153846154,0.130111524163569,0.131086142322097,0.274809160305344,0.259541984732824,0.21969696969697,0.241379310344828,0.168539325842697,0.274809160305344,0.12639405204461,0.215909090909091,0.203846153846154,0.206896551724138,0.218867924528302,0.21969696969697,0.211538461538462,0.267175572519084,0.168539325842697,0.213740458015267,0.253846153846154,0.25,0.255725190839695,0.198473282442748,0.21969696969697,0.190839694656489,0.274809160305344,0.218390804597701,0.215909090909091,0.203065134099617,0.134831460674157,0.197718631178707,0.246153846153846,0.196153846153846,0.263358778625954,0.176029962546816,0.134831460674157,0.145522388059701,0.263358778625954,0.203846153846154,0.270992366412214,0.207692307692308,0.162264150943396,0.19622641509434,0.172284644194757,0.209923664122137,0.267175572519084,0.261538461538462,0.0037037037037037,0.215909090909091,0.263358778625954,0.210727969348659,0.267175572519084,0.267175572519084,0.131086142322097,0.248091603053435,0.23134328358209,0.267175572519084,0.218390804597701,0.217557251908397,0.21969696969697,0.172284644194757,0.133828996282528,0.212927756653992,0.274809160305344,0.292775665399239,0.187022900763359,0.21455938697318,0.211320754716981,0.207547169811321,0.197718631178707
"ASV432",0.230188679245283,0.263358778625954,0,0.0259259259259259,0.265917602996255,0.0888888888888889,0.263358778625954,0.242537313432836,0.0848708487084871,0.107806691449814,0.280898876404494,0.107806691449814,0.259398496240602,0.269662921348315,0.284644194756554,0.0959409594095941,0.229323308270677,0.0706319702602231,0.269662921348315,0.288389513108614,0.255639097744361,0.229323308270677,0.238636363636364,0.222641509433962,0.247232472324723,0.240601503759399,0.238636363636364,0.0922509225092251,0.273408239700375,0.244360902255639,0.159851301115242,0.111524163568773,0.284644194756554,0.238805970149254,0.229323308270677,0.238805970149254,0.174074074074074,0.233962264150943,0.233082706766917,0.230188679245283,0.269662921348315,0.23134328358209,0.104089219330855,0.246212121212121,0.292134831460674,0.273408239700375,0.265917602996255,0.259541984732824,0.288389513108614,0.238636363636364,0.292134831460674,0.242424242424242,0.259398496240602,0.237037037037037,0.273408239700375,0.257462686567164,0.0848708487084871,0.115241635687732,0.263358778625954,0.225563909774436,0.0922509225092251,0.233962264150943,0.284644194756554,0.284644194756554,0.269662921348315,0.177777777777778,0.250922509225092,0.277153558052434,0.228136882129278,0.250950570342205,0.229323308270677,0.273408239700375,0.263157894736842,0.226415094339623,0.177777777777778,0.269662921348315,0.238805970149254,0.237735849056604,0.239852398523985,0.225925925925926,0.235074626865672
"ASV434",0.233962264150943,0.256704980842912,0.0259259259259259,0,0.278195488721804,0.0855018587360595,0.256704980842912,0.239700374531835,0.0703703703703704,0.0970149253731343,0.281954887218045,0.0970149253731343,0.267924528301887,0.278195488721804,0.281954887218045,0.0777777777777778,0.233082706766917,0.0669144981412639,0.274436090225564,0.285714285714286,0.264150943396226,0.225563909774436,0.242424242424242,0.226415094339623,0.233333333333333,0.244360902255639,0.242424242424242,0.0851851851851852,0.278195488721804,0.255639097744361,0.16728624535316,0.100746268656716,0.285714285714286,0.235955056179775,0.233082706766917,0.235955056179775,0.171003717472119,0.233962264150943,0.229323308270677,0.233962264150943,0.278195488721804,0.228464419475655,0.0966542750929368,0.25,0.289473684210526,0.270676691729323,0.278195488721804,0.260536398467433,0.285714285714286,0.242424242424242,0.289473684210526,0.246212121212121,0.260377358490566,0.237918215613383,0.278195488721804,0.254681647940075,0.0777777777777778,0.104477611940299,0.260536398467433,0.229323308270677,0.0814814814814815,0.237735849056604,0.285714285714286,0.285714285714286,0.278195488721804,0.174721189591078,0.237037037037037,0.278195488721804,0.231939163498099,0.247148288973384,0.225563909774436,0.278195488721804,0.271698113207547,0.230188679245283,0.174721189591078,0.278195488721804,0.235955056179775,0.241509433962264,0.225925925925926,0.215613382899628,0.228464419475655
"ASV449",0.173584905660377,0.138576779026217,0.265917602996255,0.278195488721804,0,0.285714285714286,0.138576779026217,0.187265917602996,0.284644194756554,0.267924528301887,0.246212121212121,0.267924528301887,0.0661764705882353,0.0146520146520147,0.25,0.262172284644195,0.169172932330827,0.274436090225564,0.113970588235294,0.253787878787879,0.0625,0.165413533834586,0.166666666666667,0.166037735849057,0.196296296296296,0.180451127819549,0.174242424242424,0.284644194756554,0.125,0.191729323308271,0.218867924528302,0.267924528301887,0.238636363636364,0.187265917602996,0.169172932330827,0.187265917602996,0.250936329588015,0.177358490566038,0.165413533834586,0.166037735849057,0.0146520146520147,0.197761194029851,0.264150943396226,0.170454545454545,0.246212121212121,0.128676470588235,0.00366300366300366,0.0783582089552239,0.238636363636364,0.166666666666667,0.253787878787879,0.170454545454545,0.134328358208955,0.12962962962963,0.117647058823529,0.202247191011236,0.269662921348315,0.275471698113207,0.138576779026217,0.169172932330827,0.262172284644195,0.177358490566038,0.25,0.242424242424242,0.0146520146520147,0.239700374531835,0.194852941176471,0.25,0.171102661596958,0.190114068441065,0.169172932330827,0.117647058823529,0.0698529411764706,0.162264150943396,0.250936329588015,0.267924528301887,0.183520599250936,0.181132075471698,0.192592592592593,0.188888888888889,0.194029850746269
"ASV509",0.246212121212121,0.270992366412214,0.0888888888888889,0.0855018587360595,0.285714285714286,0,0.270992366412214,0.254681647940075,0.0296296296296296,0.145522388059701,0.288389513108614,0.145522388059701,0.275471698113207,0.281954887218045,0.295880149812734,0.0740740740740741,0.245283018867925,0.108208955223881,0.296992481203008,0.299625468164794,0.271698113207547,0.245283018867925,0.250950570342205,0.246212121212121,0.251851851851852,0.256603773584906,0.250950570342205,0.0333333333333333,0.296992481203008,0.267924528301887,0.201492537313433,0.149253731343284,0.295880149812734,0.247191011235955,0.245283018867925,0.250936329588015,0.20817843866171,0.25,0.249056603773585,0.242424242424242,0.281954887218045,0.228464419475655,0.130597014925373,0.258555133079848,0.303370786516854,0.289473684210526,0.285714285714286,0.260536398467433,0.303370786516854,0.250950570342205,0.303370786516854,0.254752851711027,0.266917293233083,0.252788104089219,0.300751879699248,0.265917602996255,0.0444444444444444,0.152985074626866,0.274809160305344,0.237735849056604,0.0703703703703704,0.25,0.292134831460674,0.292134831460674,0.281954887218045,0.197026022304833,0.255555555555556,0.284644194756554,0.244274809160305,0.277566539923954,0.241509433962264,0.300751879699248,0.279245283018868,0.242424242424242,0.211895910780669,0.295880149812734,0.250936329588015,0.253787878787879,0.248148148148148,0.252788104089219,0.232209737827715
"ASV695",0.206896551724138,0.0037037037037037,0.263358778625954,0.256704980842912,0.138576779026217,0.270992366412214,0,0.194656488549618,0.267175572519084,0.253846153846154,0.263358778625954,0.253846153846154,0.133828996282528,0.131086142322097,0.274809160305344,0.259541984732824,0.21969696969697,0.241379310344828,0.172284644194757,0.274809160305344,0.130111524163569,0.215909090909091,0.203846153846154,0.206896551724138,0.215094339622642,0.21969696969697,0.211538461538462,0.267175572519084,0.172284644194757,0.213740458015267,0.253846153846154,0.25,0.255725190839695,0.198473282442748,0.21969696969697,0.190839694656489,0.270992366412214,0.218390804597701,0.215909090909091,0.203065134099617,0.138576779026217,0.193916349809886,0.246153846153846,0.196153846153846,0.263358778625954,0.179775280898876,0.134831460674157,0.149253731343284,0.263358778625954,0.203846153846154,0.270992366412214,0.207692307692308,0.166037735849057,0.192452830188679,0.176029962546816,0.209923664122137,0.267175572519084,0.261538461538462,0.00740740740740741,0.215909090909091,0.263358778625954,0.210727969348659,0.267175572519084,0.267175572519084,0.131086142322097,0.251908396946565,0.227611940298507,0.267175572519084,0.218390804597701,0.217557251908397,0.21969696969697,0.176029962546816,0.137546468401487,0.212927756653992,0.270992366412214,0.288973384030418,0.187022900763359,0.21455938697318,0.207547169811321,0.20377358490566,0.193916349809886
"ASV773",0.169811320754717,0.194656488549618,0.242537313432836,0.239700374531835,0.187265917602996,0.254681647940075,0.194656488549618,0,0.257462686567164,0.262172284644195,0.212121212121212,0.262172284644195,0.18796992481203,0.194756554307116,0.208333333333333,0.253731343283582,0.184210526315789,0.233082706766917,0.191011235955056,0.212121212121212,0.184210526315789,0.180451127819549,0.166666666666667,0.169811320754717,0.2,0.199248120300752,0.174242424242424,0.264925373134328,0.209737827715356,0.184210526315789,0.233082706766917,0.265917602996255,0.215909090909091,0.0183823529411765,0.184210526315789,0.0183823529411765,0.220973782771536,0.162264150943396,0.184210526315789,0.166037735849057,0.194756554307116,0.0555555555555556,0.233082706766917,0.181818181818182,0.212121212121212,0.202247191011236,0.191011235955056,0.183206106870229,0.204545454545455,0.166666666666667,0.21969696969697,0.170454545454545,0.142857142857143,0.155555555555556,0.194756554307116,0.0404411764705882,0.257462686567164,0.269662921348315,0.198473282442748,0.180451127819549,0.25,0.173584905660377,0.215909090909091,0.215909090909091,0.194756554307116,0.239700374531835,0.203703703703704,0.215909090909091,0.182509505703422,0.189393939393939,0.180451127819549,0.194756554307116,0.191729323308271,0.177358490566038,0.224719101123595,0.227272727272727,0.0220588235294118,0.177358490566038,0.192592592592593,0.192592592592593,0.0518518518518519
"ASV791",0.249056603773585,0.267175572519084,0.0848708487084871,0.0703703703703704,0.284644194756554,0.0296296296296296,0.267175572519084,0.257462686567164,0,0.130111524163569,0.284644194756554,0.130111524163569,0.278195488721804,0.280898876404494,0.288389513108614,0.0553505535055351,0.240601503759399,0.0855018587360595,0.288389513108614,0.292134831460674,0.274436090225564,0.240601503759399,0.25,0.249056603773585,0.236162361623616,0.25187969924812,0.25,0.018450184501845,0.288389513108614,0.266917293233083,0.193308550185874,0.133828996282528,0.292134831460674,0.25,0.240601503759399,0.253731343283582,0.192592592592593,0.249056603773585,0.244360902255639,0.241509433962264,0.280898876404494,0.23134328358209,0.115241635687732,0.257575757575758,0.295880149812734,0.280898876404494,0.284644194756554,0.267175572519084,0.295880149812734,0.25,0.295880149812734,0.253787878787879,0.255639097744361,0.244444444444444,0.292134831460674,0.268656716417911,0.03690036900369,0.137546468401487,0.270992366412214,0.236842105263158,0.0590405904059041,0.252830188679245,0.288389513108614,0.288389513108614,0.280898876404494,0.196296296296296,0.250922509225092,0.280898876404494,0.239543726235741,0.273764258555133,0.236842105263158,0.292134831460674,0.281954887218045,0.237735849056604,0.196296296296296,0.295880149812734,0.253731343283582,0.256603773584906,0.232472324723247,0.240740740740741,0.235074626865672
"ASV866",0.258555133079848,0.253846153846154,0.107806691449814,0.0970149253731343,0.267924528301887,0.145522388059701,0.253846153846154,0.262172284644195,0.130111524163569,0,0.29811320754717,0.00371747211895911,0.265151515151515,0.267924528301887,0.29811320754717,0.115241635687732,0.231060606060606,0.112359550561798,0.283018867924528,0.30188679245283,0.261363636363636,0.238636363636364,0.255725190839695,0.243346007604563,0.260223048327137,0.25,0.255725190839695,0.144981412639405,0.283018867924528,0.265151515151515,0.198501872659176,0.0111524163568773,0.30188679245283,0.265917602996255,0.231060606060606,0.258426966292135,0.212686567164179,0.254752851711027,0.242424242424242,0.254752851711027,0.271698113207547,0.262172284644195,0.138576779026217,0.259541984732824,0.30188679245283,0.286792452830189,0.267924528301887,0.265384615384615,0.305660377358491,0.251908396946565,0.30188679245283,0.255725190839695,0.261363636363636,0.261194029850746,0.286792452830189,0.280898876404494,0.148698884758364,0.0111524163568773,0.253846153846154,0.231060606060606,0.111524163568773,0.262357414448669,0.30188679245283,0.30188679245283,0.267924528301887,0.190298507462687,0.267657992565056,0.294339622641509,0.229885057471264,0.264367816091954,0.238636363636364,0.286792452830189,0.268939393939394,0.239543726235741,0.216417910447761,0.275471698113207,0.258426966292135,0.26615969581749,0.252788104089219,0.235074626865672,0.258426966292135
