"","denovo14615","denovo4778","denovo22426","denovo35119","denovo33597","denovo23973","denovo17838","denovo38112","denovo36131","denovo2158","denovo21385","denovo21888","denovo823","denovo20676","denovo32726","denovo38665","denovo36415","denovo17082","denovo23535","denovo7084","denovo4781","denovo30173","denovo3029","denovo11232","denovo4277","denovo1495"
"denovo14615",0,0.0159235668789809,0.0382165605095541,0.00636942675159236,0.00955414012738853,0.0192307692307692,0.00955414012738853,0.00636942675159236,0.0288461538461538,0.0159235668789809,0.0254777070063694,0.035031847133758,0.0437710437710438,0.00318471337579618,0.00636942675159236,0.00955414012738853,0.00955414012738853,0.00636942675159236,0.00955414012738853,0.0127388535031847,0.0471380471380471,0.00636942675159236,0.0319488817891374,0.00636942675159236,0.0224358974358974,0.0224358974358974
"denovo4778",0.0159235668789809,0,0.0286624203821656,0.0159235668789809,0.0127388535031847,0.00961538461538462,0.00636942675159236,0.0159235668789809,0.0192307692307692,0.0127388535031847,0.0159235668789809,0.0254777070063694,0.0404040404040404,0.0127388535031847,0.0159235668789809,0.0191082802547771,0.0191082802547771,0.0159235668789809,0.0191082802547771,0.00955414012738853,0.0437710437710438,0.0159235668789809,0.0223642172523962,0.0159235668789809,0.0128205128205128,0.0128205128205128
"denovo22426",0.0382165605095541,0.0286624203821656,0,0.0382165605095541,0.035031847133758,0.032051282051282,0.0286624203821656,0.0382165605095541,0.0416666666666667,0.0318471337579618,0.0382165605095541,0.00318471337579618,0.0606060606060606,0.035031847133758,0.0382165605095541,0.0414012738853503,0.0414012738853503,0.0382165605095541,0.0414012738853503,0.0318471337579618,0.063973063973064,0.035031847133758,0.0447284345047923,0.0382165605095541,0.0352564102564103,0.0352564102564103
"denovo35119",0.00636942675159236,0.0159235668789809,0.0382165605095541,0,0.00955414012738853,0.0192307692307692,0.00955414012738853,0.00636942675159236,0.0288461538461538,0.0159235668789809,0.0254777070063694,0.035031847133758,0.0437710437710438,0.00318471337579618,0.00636942675159236,0.00955414012738853,0.00955414012738853,0.00636942675159236,0.00955414012738853,0.0127388535031847,0.0471380471380471,0.00636942675159236,0.0319488817891374,0.00636942675159236,0.0224358974358974,0.0224358974358974
"denovo33597",0.00955414012738853,0.0127388535031847,0.035031847133758,0.00955414012738853,0,0.016025641025641,0.00636942675159236,0.00955414012738853,0.0256410256410256,0.0127388535031847,0.0222929936305733,0.0318471337579618,0.0404040404040404,0.00636942675159236,0.00955414012738853,0.0127388535031847,0.0127388535031847,0.00955414012738853,0.0127388535031847,0.00955414012738853,0.0437710437710438,0.00955414012738853,0.0287539936102236,0.00955414012738853,0.0192307692307692,0.0192307692307692
"denovo23973",0.0192307692307692,0.00961538461538462,0.032051282051282,0.0192307692307692,0.016025641025641,0,0.00961538461538462,0.0192307692307692,0.00961538461538462,0.016025641025641,0.0128205128205128,0.0288461538461538,0.0440677966101695,0.016025641025641,0.0192307692307692,0.0224358974358974,0.0224358974358974,0.0192307692307692,0.0224358974358974,0.0128205128205128,0.0474576271186441,0.0192307692307692,0.00643086816720257,0.0192307692307692,0.00320512820512821,0.00320512820512821
"denovo17838",0.00955414012738853,0.00636942675159236,0.0286624203821656,0.00955414012738853,0.00636942675159236,0.00961538461538462,0,0.00955414012738853,0.0192307692307692,0.00636942675159236,0.0159235668789809,0.0254777070063694,0.0336700336700337,0.00636942675159236,0.00955414012738853,0.0127388535031847,0.0127388535031847,0.00955414012738853,0.0127388535031847,0.00318471337579618,0.037037037037037,0.00955414012738853,0.0223642172523962,0.00955414012738853,0.0128205128205128,0.0128205128205128
"denovo38112",0.00636942675159236,0.0159235668789809,0.0382165605095541,0.00636942675159236,0.00955414012738853,0.0192307692307692,0.00955414012738853,0,0.0288461538461538,0.0159235668789809,0.0254777070063694,0.035031847133758,0.0404040404040404,0.00318471337579618,0.00636942675159236,0.00955414012738853,0.00955414012738853,0.00636942675159236,0.00955414012738853,0.0127388535031847,0.0437710437710438,0.00636942675159236,0.0319488817891374,0.00636942675159236,0.0224358974358974,0.0224358974358974
"denovo36131",0.0288461538461538,0.0192307692307692,0.0416666666666667,0.0288461538461538,0.0256410256410256,0.00961538461538462,0.0192307692307692,0.0288461538461538,0,0.0256410256410256,0.0224358974358974,0.0384615384615385,0.0542372881355932,0.0256410256410256,0.0288461538461538,0.032051282051282,0.032051282051282,0.0288461538461538,0.032051282051282,0.0224358974358974,0.0576271186440678,0.0288461538461538,0.0160771704180064,0.0288461538461538,0.0128205128205128,0.0128205128205128
"denovo2158",0.0159235668789809,0.0127388535031847,0.0318471337579618,0.0159235668789809,0.0127388535031847,0.016025641025641,0.00636942675159236,0.0159235668789809,0.0256410256410256,0,0.0222929936305733,0.0318471337579618,0.0404040404040404,0.0127388535031847,0.0159235668789809,0.0191082802547771,0.0191082802547771,0.0159235668789809,0.0191082802547771,0.00955414012738853,0.0437710437710438,0.0127388535031847,0.0287539936102236,0.0159235668789809,0.0192307692307692,0.0192307692307692
"denovo21385",0.0254777070063694,0.0159235668789809,0.0382165605095541,0.0254777070063694,0.0222929936305733,0.0128205128205128,0.0159235668789809,0.0254777070063694,0.0224358974358974,0.0222929936305733,0,0.035031847133758,0.0505050505050505,0.0222929936305733,0.0254777070063694,0.0286624203821656,0.0286624203821656,0.0254777070063694,0.0286624203821656,0.0191082802547771,0.0538720538720539,0.0254777070063694,0.0255591054313099,0.0254777070063694,0.016025641025641,0.016025641025641
