field_season,site,coral_tag,before/after,annotator,date_annotated,colony_width1,colony_width2,colony_area,binary_tissue_loss,binary_disease,cyanobacteria_contact,binary_algal_contact,turf_contact,binary_macroalgae_contact,type_of_macroalgae,binary_CCA_contact,sediment_contact,binary_coral_contact,binary_bleaching,bleaching_proportion,notes_bleaching,notes
KI2014,3,155,,JL,15-01-2016,33.663,25.472,546.821,n,n,n,y,y,n,NONE,y,y,y,n,NONE,,
KI2014,3,156,,JL,15-01-2016,29.238,27.887,590.922,n,n,n,y,y,n,NONE,y,y,y,n,NONE,,
KI2014,3,157,,JL,15-01-2016,14.775,14.545,161.789,n,n,n,y,y,n,NONE,n,y,n,y,1,"the top parts of some ridges are bleaching, small amounts of bleaching around algae patches on coral (Platygyra)",
KI2014,3,158,,JL,15-01-2016,39.988,36.251,828.157,n,n,n,y,y,n,NONE,y,y,y,y,1,a few small bleachd spots under 5cm,
KI2014,3,159,,JL,15-01-2016,33.001,25.629,494.298,n,n,n,y,y,n,NONE,y,n,y,y,2,"about 1/4 of branches are starting to bleach, a few branches are almost completely white",
KI2014,3,161,,JL,15-01-2016,17.433,16.82,217.694,n,n,n,y,y,n,NONE,y,y,n,y,1,"large portion of coral is starting to pale, one almost white patch <5cm *double check bleaching",
KI2014,3,162,,JL,15-01-2016,78.84,47.892,3194.651,n,n,n,y,y,y,Halimeda,y,y,y,n,NONE ,,
KI2014,3,163,,JL,15-01-2016,32.556,21.24,489.36,n,n,n,y,y,n,NONE,y,n,n,n,NONE,,
KI2014,3,164,,JL,15-01-2016,28.558,24.345,520.248,n,n,n,y,y,y,"Halimeda, Peysson_red",y,y,n,y,1,a few small patches where the ridges are bleaching (platygyra),
KI2014,3,165,,JL,19-02-2016,81.778,51.407,2907.275,n,n,n,y,y,n,NONE,y,y,y,y,1,"two severely bleached spots, one along edge ",
KI2014,3,166,,HD,18-01-2016,35.233,31.616,752.733,n,n,n,y,y,n,NONE,y,n,y,n,NONE,2.54 cm scale used,
KI2014,3,167,,HD,18-01-2016,21.464,16.398,255.149,n,n,n,y,y,n,NONE,n,n,y,y,1,Many small spots ,
KI2014,3,168,,HD,18-01-2016,29.15,14.135,368.105,n,n,n,y,y,n,NONE,n,y,y,y,1,One small spot on the left side and a few smaller patches on the right side,
KI2014,3,169,,HD,18-01-2016,67.233,61.555,2304.632,n,n,n,y,y,n,NONE,y,y,y,y,1,"Many small circles, some darker spots as well. ",
KI2014,3,170,,HD,18-01-2016,69.843,56.066,2138.769,n,n,n,n,n,n,NONE,y,n,y,n,NONE,,
KI2014,3,171,,HD,18-01-2016,20.589,16.206,253.087,n,n,n,y,y,y,Halimeda,y,y,y,n,NONE,,
KI2014,3,172,,JL,20-01-2016,28.508,22.898,510.631,n,n,n,y,y,n,NONE,y,n,y,y,1,many small patches <5cm,
KI2014,3,173,,JL,20-01-2016,49.445,27.878,970.778,n,n,n,y,y,n,NONE,y,y,y,y,1,"many small patches where outer ridges are bleached, middle parts still dark (F. matthai). Area may be underestimate since image is cut off. ",
KI2014,3,174,,HD,16-02-2016,22.131,21.742,323.783,n,n,n,y,y,n,NONE,n,y,y,n,NONE,,
KI2014,3,175,,HD,16-02-2016,50.445,43.05,1523.663,n,n,n,n,n,n,NONE,n,y,y,n,NONE,,
KI2014,3,176,,HD,16-02-2016,17.507,16.855,195.981,n,n,n,y,y,n,NONE,n,y,n,y,1,small amount in center ,
KI2014,3,177,,HD,16-02-2016,30.999,27.53,659.771,n,n,n,y,y,n,NONE,y,y,y,y,1,"a few small spots < 5 cm, bleaching along two edges ",
KI2014,3,178,,HD,16-02-2016,44.425,44.03,1207.928,n,n,n,y,y,n,NONE,y,n,y,n,NONE,,
KI2014,3,179,,HD,16-02-2016,24.927,24.266,391.673,n,n,n,y,y,y,Halimeda,n,n,y,n,NONE,,
KI2014,3,180,,JL,19-02-2016,76.304,32.01,1668.191,n,n,n,y,y,n,NONE,y,y,y,n,NONE,,
KI2014,3,181,,JL,19-02-2016,26.25,21.315,407.932,n,n,n,y,y,n,NONE,y,y,y,y,1,many small spots ,
KI2014,3,182,,JL,19-02-2016,68.701,47.219,2136.456,n,n,n,y,y,n,NONE,y,y,y,n,NONE,,
KI2014,3,183,,JL,19-02-2016,96.688,43.708,2597.447,n,n,n,y,y,n,NONE,y,y,y,n,NONE,,
KI2014,3,184,,JL,19-02-2016,20.732,19.627,243.833,n,n,n,y,y,n,NONE,y,y,n,n,NONE,,
KI2014,3,185,,HD,5/8/2016,80.737,53.084,2832.201,n,n,n,y,y,n,NONE,y,y,y,y,2,2 patches >5cm and some smaller spots,
KI2014,3,186,,JL,19-02-2016,23.343,10.807,194.78,n,n,n,y,y,n,NONE,y,y,n,n,NONE,,
KI2014,3,187,,JL,19-02-2016,68.701,46.219,185.856,n,n,n,y,y,n,NONE,y,y,n,n,NONE,,
KI2014,3,221,,JL,28-07-2016,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,photo area was to small to extract data from,
KI2014,3,222,,HD,11/3/2016,39.426,26.674,655.748,n,n,n,y,y,y,Halimeda,y,n,y,n,NONE,,
KI2014,3,223,,JL,28-01-2016,31.083,26.684,584.323,n,n,n,y,y,n,NONE,y,n,y,y,1,a few small bleached spots ,
KI2014,3,224,,DL,28-01-2016,16.224,13.65,171.104,n,n,n,y,y,n,NONE,y,y,y,y,1,a few small spots,
KI2014,3,225,,DL,28-01-2016,51.806,38.353,1266.199,n,n,n,y,y,n,NONE,y,y,y,n,NONE,no bleaching,
KI2014,3,226,,DL,28-01-2016,28.81,26.263,507.686,n,n,n,y,y,n,NONE,y,y,y,y,1,"two bleached patches, one around algae",
KI2014,3,227,,HD,2/8/2016,24.937,13.773,264.516,n,n,n,y,y,n,NONE,y,y,y,y,3,most of coral starting to bleach,
KI2014,3,228,,DL,28-01-2016,30.709,14.307,265.967,n,n,n,y,y,n,NONE,y,n,n,n,NONE,,
KI2014,3,229,,HD,2/8/2016,70.912,35.036,1789.266,n,n,n,y,y,n,NONE,y,y,y,n,NONE,,
KI2014,3,230,,HD,2/8/2016,36.814,34.85,734.999,n,n,n,n,n,n,NONE,n,y,y,y,1,many small spots,
KI2014,3,231,,HD,2/8/2016,21.155,18.435,244.349,n,n,n,y,y,n,NONE,n,y,y,y,2,some larger areas bleached,
KI2014,3,232,,DL,28-01-2016,21.859,21.237,369.044,n,n,n,y,y,n,NONE,y,y,y,n,NONE,,
KI2014,3,233,,HD,2/8/2016,34.774,20.444,575.001,n,n,n,n,n,n,NONE,y,y,y,y,2,monticules bleaching down branches,
