site,fieldseason_site,field_season,geo_region,fpressure,flevel,nut_time_sample,nut_sample_id,nitrate_plus_nitrite_uM_mean,nitrate_plus_nitrite_uM_se,Flag.Nitrate_plus_Nitrite,silicate_uM_mean,silicate_uM_se,Flag.Silicate,phosphate_uM_mean,phosphate_uM_se,Flag.Phosphate,nutrient_comments,prod_aq_date_sample,prod_aq_time_sample,prod_mean_aq,prod_se_aq,rain_aq,wind_aq,notes_aquafluor,prod_f_date_collected,prod_f_time_sample,prod_f_packet_number,prod_f_sample_id,prod_mean_f,prod_se_f,turb_aq_date_sample,turb_aq_time_sample,turb_mean_aq,turb_se_aq,rain_turb_aq,wind_turb_aq,notes_turb_aquafluor,ysi_date_sample,ysi_temp_mean_1m,ysi_temp_se_1m,ysi_salinity_mean_1m,ysi_salinity_se_1m,ysi_DO_mean_1m,ysi_DO_se_1m,ysi_DO_mgL_mean_1m,ysi_DO_mgL_se_1m,ysi_pH_mean_1m,ysi_pH_se_1m,vis_date_observed,visibility_m,long,lat,npp_mean_sat,npp_min_sat,npp_max_sat,npp_sd_sat,npp_interann_sd_sat,npp_flag_sat,wave_mean_sat,wave_sd_sat,wave_interann_sd_sat,wave_wind_fetch_sat,wave_ww3_res_sat
8,2016a_8,2016a,s.lagoon,Medium,3,13:21,K116aSW001_N1,4.706666667,NA,NA,5.373333333,NA,4,0.382,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,17-Mar-16,,5.65,NA,Y,Y,heavy rain overnight,17-Mar-16,13:21,001_CHL1,KI16a001_CHL1,0.033772338,0.013202055,17-Mar-16,,0.003,NA,Y,Y,heavy rain overnight,19-Mar-16,28.625,0.025,35.3375,0.011086779,92.375,0.34247871,5.885,0.018929694,7.985,0.005,17-Mar-16,25,-157.552,1.886,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
8,2017_8,2017,s.lagoon,Medium,3,8:15,KI17SW007_N3,3.82,NA,NA,1.736666667,NA,NA,0.410333333,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-Jul-17,28,0,35.17,0.005773503,88.7,0.251661148,5.76,0.005773503,7.973333333,0.014529663,10-Jul-17,20,-157.552,1.886,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
8,2015a_8,2015a,s.lagoon,Medium,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/2/2015,15.42,-157.552,1.886,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
8,2014_8,2014,s.lagoon,Medium,3,8:45,K114SW03_N1,2.623333333,0.032829526,NA,10.65,0.856874164,NA,0.597,0.080102018,NA,NA,8/23/2014,NA,4.713333333,0.321017826,N,Y,,8/23/2014,8:45,10,KI14_10,0.412047396,0.106047572,8/23/2014,NA,0.482,0.171029237,N,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/9/2014,18.3,-157.552,1.886,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
8,2016a_8,2016a,s.lagoon,Medium,3,13:21,K116aSW001_N1,4.706666667,NA,NA,5.373333333,NA,4,0.382,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,17-Mar-16,,5.65,NA,Y,Y,heavy rain overnight,17-Mar-16,13:21,001_CHL1,KI16a001_CHL1,0.033772338,0.013202055,17-Mar-16,,0.003,NA,Y,Y,heavy rain overnight,17-Mar-16,29,NA,35,NA,NA,NA,NA,NA,7.01,NA,24-Mar-16,15,-157.552,1.886,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
8,2018_8,2018,s.lagoon,Medium,3,11:26,KI18SW003_N1,3.28,NA,NA,1.663333333,NA,NA,0.417,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-Jun-18,28.3,0,34.41333333,0.031797973,86.73333333,0.32829526,5.516666667,0.020275875,7.93,0.01,NA,NA,-157.552,1.886,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
8,2016a_8,2016a,s.lagoon,Medium,3,13:21,K116aSW001_N1,4.706666667,NA,NA,5.373333333,NA,4,0.382,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,17-Mar-16,,5.65,NA,Y,Y,heavy rain overnight,17-Mar-16,13:21,001_CHL1,KI16a001_CHL1,0.033772338,0.013202055,17-Mar-16,,0.003,NA,Y,Y,heavy rain overnight,17-Mar-16,29,NA,35,NA,NA,NA,NA,NA,7.01,NA,17-Mar-16,25,-157.552,1.886,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
8,2015c_8,2015c,s.lagoon,Medium,3,8:45,KI15cNUT11_N1,1.096666667,NA,NA,11.11666667,NA,4,0.393,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,14-07-2015,13:03,7.331666667,0.130899877,N,N,,14/07/2015,8:45,25,KI15c_25,0.243496688,0.001760881,14-07-2015,13:03,-0.454333333,0.172505394,N,N,,14-07-2015,29.83333333,0.033333333,35.45666667,0.020275875,84.66666667,0.881917104,NA,NA,8.066666667,0.013333333,NA,NA,-157.552,1.886,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
8,2016a_8,2016a,s.lagoon,Medium,3,13:21,K116aSW001_N1,4.706666667,NA,NA,5.373333333,NA,4,0.382,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,17-Mar-16,,5.65,NA,Y,Y,heavy rain overnight,17-Mar-16,13:21,001_CHL1,KI16a001_CHL1,0.033772338,0.013202055,17-Mar-16,,0.003,NA,Y,Y,heavy rain overnight,19-Mar-16,28.625,0.025,35.3375,0.011086779,92.375,0.34247871,5.885,0.018929694,7.985,0.005,24-Mar-16,15,-157.552,1.886,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
8,2016b_8,2016b,s.lagoon,Medium,3,12:00,KI16b_012_N1,7,NA,NA,4.33,NA,4,0.502666667,NA,NA,NUTS:  Silicate values should be viewed with suspicion as samples were collected and stored in glass vials,NA,NA,NA,NA,NA,NA,NA,18-Nov-16,12:00,34,KI16b_34,0.015288513,0.001501647,NA,NA,NA,NA,NA,NA,NA,20-Nov-16,26,0,34.88,0.005773503,95.56666667,0.033333333,6.386666667,0.029059326,7.89,0.011547005,19-Nov-16,35,-157.552,1.886,964.6187241,891.8628195,1077.882561,43.55847509,63.9545845,1,24.82366817,6.160954854,2.542199623,0,1
