"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season.1","site.1","coral_tag.1","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Dist"
"KI15bWSYM023","KI2015b.water23.site8","KI15bWSYM023",NA,"water","KI2015b","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM005","KI2015a_Post.water5.site8","KI15aWSYM005",NA,"water","KI2015a_Post","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM010","KI2015a_Post.water10.site35","KI15aWSYM010",NA,"water","KI2015a_Post","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM011","KI2015a_Post.water11.site35","KI15aWSYM011",NA,"water","KI2015a_Post","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM012","KI2015a_Post.water12.site35","KI15aWSYM012",NA,"water","KI2015a_Post","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bSSYM005","KI2015b.sediment5.site35","KI15bSSYM005",NA,"sediment","KI2015b","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bWSYM018","KI2015b.water18.site27","KI15bWSYM018",NA,"water","KI2015b","water","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM009","KI2015b.sediment9.site30","KI15bSSYM009",NA,"sediment","KI2015b","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM022","KI2015a_Post.sediment22.site27","KI15aSSYM022",NA,"sediment","KI2015a_Post","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM021","KI2015b.sediment21.site8","KI15bSSYM021",NA,"sediment","KI2015b","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bSSYM024","KI2015b.sediment24.site8","KI15bSSYM024",NA,"sediment","KI2015b","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM004","KI2014.water4.site8","KI14WSYM004",NA,"water","KI2014","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aSSYM026","KI2015a_Post.sediment26.site8","KI15aSSYM026",NA,"sediment","KI2015a_Post","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM007","KI2015a_Post.water7.site8","KI15aWSYM007",NA,"water","KI2015a_Post","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bWSYM001","KI2015b.water1.site35","KI15bWSYM001",NA,"water","KI2015b","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bWSYM002","KI2015b.water2.site35","KI15bWSYM002",NA,"water","KI2015b","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
