#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI14FSYM001	KI14FSYM001_MERGED-MAX-MISMATCH-3	1	coral	2014	1	Porites_lobata	35	alive	2014
KI15aFSYM001	KI15aFSYM001_MERGED-MAX-MISMATCH-3	1	coral	2015Jan	1	Porites_lobata	35	alive	2015Jan_Pre
KI15aFSYM082	KI15aFSYM082_MERGED-MAX-MISMATCH-3	1	coral	2015Jan	82	Porites_lobata	35	alive	2015Jan_Post
KI15bFSYM001	KI15bFSYM001_MERGED-MAX-MISMATCH-3	1	coral	2015May	1	Porites_lobata	35	alive	2015May
KI14FSYM003	KI14FSYM003_MERGED-MAX-MISMATCH-3	3	coral	2014	3	Pocillopora_eydouxi	35	UK	2014
KI15aFSYM003	KI15aFSYM003_MERGED-MAX-MISMATCH-3	3	coral	2015Jan	3	Pocillopora_eydouxi	35	UK	2015Jan_Pre
KI15aFSYM084	KI15aFSYM084_MERGED-MAX-MISMATCH-3	3	coral	2015Jan	84	Pocillopora_eydouxi	35	UK	2015Jan_Post
KI15bFSYM003	KI15bFSYM003_MERGED-MAX-MISMATCH-3	3	coral	2015May	3	Pocillopora_eydouxi	35	UK	2015May
KI14FSYM005	KI14FSYM005_MERGED-MAX-MISMATCH-3	5	coral	2014	5	Porites_lobata	35	alive	2014
KI15aFSYM085	KI15aFSYM085_MERGED-MAX-MISMATCH-3	5	coral	2015Jan	85	Porites_lobata	35	alive	2015Jan_Post
KI15bFSYM005	KI15bFSYM005_MERGED-MAX-MISMATCH-3	5	coral	2015May	5	Porites_lobata	35	alive	2015May
KI14FSYM007	KI14FSYM007_MERGED-MAX-MISMATCH-3	7	coral	2014	7	Montipora_foliosa	35	UK	2014
KI15aFSYM007	KI15aFSYM007_MERGED-MAX-MISMATCH-3	7	coral	2015Jan	7	Montipora_foliosa	35	UK	2015Jan_Pre
KI14FSYM008	KI14FSYM008_MERGED-MAX-MISMATCH-3	8	coral	2014	8	Porites_lobata	35	UK	2014
KI15aFSYM087	KI15aFSYM087_MERGED-MAX-MISMATCH-3	8	coral	2015Jan	87	Porites_lobata	35	UK	2015Jan_Post
KI15bFSYM006	KI15bFSYM006_MERGED-MAX-MISMATCH-3	8	coral	2015May	6	Porites_lobata	35	UK	2015May
KI14FSYM009	KI14FSYM009_MERGED-MAX-MISMATCH-3	9	coral	2014	9	Pocillopora_eydouxi	35	UK	2014
KI15aFSYM010	KI15aFSYM010_MERGED-MAX-MISMATCH-3	9	coral	2015Jan	10	Pocillopora_eydouxi	35	UK	2015Jan_Pre
KI14FSYM013	KI14FSYM013_MERGED-MAX-MISMATCH-3	13	coral	2014	13	Pocillopora_eydouxi	35	dead	2014
KI15aFSYM089	KI15aFSYM089_MERGED-MAX-MISMATCH-3	13	coral	2015Jan	89	Pocillopora_eydouxi	35	dead	2015Jan_Post
KI15bFSYM014	KI15bFSYM014_MERGED-MAX-MISMATCH-3	13	coral	2015May	14	Pocillopora_eydouxi	35	dead	2015May
KI14FSYM015	KI14FSYM015_MERGED-MAX-MISMATCH-3	15	coral	2014	15	Porites_lobata	35	alive	2014
KI15aFSYM093	KI15aFSYM093_MERGED-MAX-MISMATCH-3	15	coral	2015Jan	93	Porites_lobata	35	alive	2015Jan_Post
KI15bFSYM017	KI15bFSYM017_MERGED-MAX-MISMATCH-3	15	coral	2015May	17	Porites_lobata	35	alive	2015May
KI14FSYM041	KI14FSYM041_MERGED-MAX-MISMATCH-3	41	coral	2014	41	Montipora_foliosa	27	UK	2014
KI15aFSYM165	KI15aFSYM165_MERGED-MAX-MISMATCH-3	41	coral	2015Jan	165	Montipora_foliosa	27	UK	2015Jan_Post
KI14FSYM043	KI14FSYM043_MERGED-MAX-MISMATCH-3	43	coral	2014	43	Pocillopora_eydouxi	27	UK	2014
KI15aFSYM166	KI15aFSYM166_MERGED-MAX-MISMATCH-3	43	coral	2015Jan	166	Pocillopora_eydouxi	27	UK	2015Jan_Post
KI14FSYM044	KI14FSYM044_MERGED-MAX-MISMATCH-3	44	coral	2014	44	Montipora_foliosa	27	gone	2014
KI15aFSYM167	KI15aFSYM167_MERGED-MAX-MISMATCH-3	44	coral	2015Jan	167	Montipora_foliosa	27	gone	2015Jan_Post
KI15bFSYM144	KI15bFSYM144_MERGED-MAX-MISMATCH-3	44	coral	2015May	144	Montipora_foliosa	27	gone	2015May
KI15bFSYM145	KI15bFSYM145_MERGED-MAX-MISMATCH-3	46	coral	2015May	145	Porites_lobata	27	alive	2015May
KI14FSYM050	KI14FSYM050_MERGED-MAX-MISMATCH-3	50	coral	2014	50	Pocillopora_eydouxi	8	UK	2014
KI15aFSYM111	KI15aFSYM111_MERGED-MAX-MISMATCH-3	50	coral	2015Jan	111	Pocillopora_eydouxi	8	UK	2015Jan_Post
KI14FSYM060	KI14FSYM060_MERGED-MAX-MISMATCH-3	60	coral	2014	60	Montipora_foliosa	8	dead	2014
KI15aFSYM114	KI15aFSYM114_MERGED-MAX-MISMATCH-3	60	coral	2015Jan	114	Montipora_foliosa	8	dead	2015Jan_Post
KI15bFSYM165	KI15bFSYM165_MERGED-MAX-MISMATCH-3	60	coral	2015May	165	Montipora_foliosa	8	dead	2015May
KI14FSYM063	KI14FSYM063_MERGED-MAX-MISMATCH-3	63	coral	2014	63	Porites_lobata	8	alive	2014
KI15aFSYM117	KI15aFSYM117_MERGED-MAX-MISMATCH-3	63	coral	2015Jan	117	Porites_lobata	8	alive	2015Jan_Post
KI15bFSYM168	KI15bFSYM168_MERGED-MAX-MISMATCH-3	63	coral	2015May	168	Porites_lobata	8	alive	2015May
KI14FSYM076	KI14FSYM076_MERGED-MAX-MISMATCH-3	76	coral	2014	76	Montipora_foliosa	8	dead	2014
KI15aFSYM120	KI15aFSYM120_MERGED-MAX-MISMATCH-3	76	coral	2015Jan	120	Montipora_foliosa	8	dead	2015Jan_Post
KI15bFSYM172	KI15bFSYM172_MERGED-MAX-MISMATCH-3	76	coral	2015May	172	Montipora_foliosa	8	dead	2015May
KI14FSYM084	KI14FSYM084_MERGED-MAX-MISMATCH-3	84	coral	2014	84	Pocillopora_eydouxi	8	dead	2014
KI15aFSYM121	KI15aFSYM121_MERGED-MAX-MISMATCH-3	84	coral	2015Jan	121	Pocillopora_eydouxi	8	dead	2015Jan_Post
KI15bFSYM173	KI15bFSYM173_MERGED-MAX-MISMATCH-3	84	coral	2015May	173	Pocillopora_eydouxi	8	dead	2015May
KI15bFSYM174	KI15bFSYM174_MERGED-MAX-MISMATCH-3	85	coral	2015May	174	Montipora_foliosa	8	gone	2015May
KI15bFSYM175	KI15bFSYM175_MERGED-MAX-MISMATCH-3	86	coral	2015May	175	Pocillopora_eydouxi	8	gone	2015May
KI14FSYM087	KI14FSYM087_MERGED-MAX-MISMATCH-3	87	coral	2014	87	Porites_lobata	35	UK	2014
KI15aFSYM008	KI15aFSYM008_MERGED-MAX-MISMATCH-3	87	coral	2015Jan	8	Porites_lobata	35	UK	2015Jan_Pre
